period,timestamp,minute,second,team_goals_before,opp_goals_before,team_id,team_name,player_id,player_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,score_diff,scored,direction,pressure
5,00:04:39.531,124,39,2,4,861,France Women's,31614,Melvine Malard,0.7835,"[120.0, 36.6, 1.2]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-2,1,Left,Extreme
5,00:05:33.299,125,33,4,3,857,Germany Women's,10263,Sara Däbritz,0.7835,"[120.0, 42.7, 2.9]",38,Left Foot,88,Penalty,99,Post,93,Normal,"[{'location': [118.2, 40.7], 'player': {'id': 15615, 'name': 'Pauline Peyraud Magnin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",1,0,Right,Extreme
5,00:06:32.348,126,32,3,4,861,France Women's,24459,Sandy Baltimore,0.7835,"[120.0, 37.6, 0.9]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Left,Extreme
5,00:07:08.421,127,8,4,4,857,Germany Women's,15560,Ann-Katrin Berger,0.7835,"[120.0, 43.1, 1.4]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Right,Extreme
5,00:08:03.511,128,3,4,5,861,France Women's,31633,Oriane Jean-François,0.7835,"[120.0, 36.9, 0.2]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Left,Extreme
5,00:08:53.556,128,53,5,5,857,Germany Women's,25729,Klara Bühl,0.7835,"[120.0, 43.3, 2.2]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Right,Extreme
5,00:09:42.828,129,42,5,6,861,France Women's,97854,Melween Ndongala,0.7835,"[120.0, 36.7, 1.3]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Left,Extreme
5,00:10:24.694,130,24,6,6,857,Germany Women's,47008,Sjoeke Nüsken,0.7835,"[120.0, 43.5, 0.9]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Right,Extreme
5,00:11:17.170,131,17,6,7,861,France Women's,49583,Alice Sombath,0.7835,"[119.1, 42.2, 1.2]",40,Right Foot,88,Penalty,100,Saved,93,Normal,,-1,0,Right,Extreme
1,00:38:53.358,38,53,0,1,209,Celta Vigo,6038,John Guidetti,0.7835,"[120.0, 37.3, 1.0]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Left,Medium
2,00:35:58.792,80,58,3,1,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,0.7835,"[111.4, 43.2]",38,Left Foot,88,Penalty,101,Wayward,93,Normal,"[{'location': [119.7, 40.1], 'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",2,0,Right,Medium
2,00:30:02.693,75,2,3,1,174,VfB Stuttgart,5591,Filip Kostić,0.7835,"[120.0, 36.5, 0.2]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,2,1,Left,Medium
1,00:34:24.103,34,24,0,1,180,Borussia Dortmund,3712,Pierre-Emerick Aubameyang,0.7835,"[120.0, 37.1, 1.2]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Left,Medium
2,00:39:48.497,84,48,2,2,180,Borussia Dortmund,3712,Pierre-Emerick Aubameyang,0.7835,"[120.0, 41.5, 2.0]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Right,Extreme
2,00:16:19.704,61,19,2,1,212,Atlético Madrid,26199,Diego Forlán Corazo,0.7835,"[120.0, 41.8, 0.2]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,1,1,Right,High
1,00:50:38.236,50,38,2,1,144,Nantes,3235,Ludovic Blas,0.7835,"[120.0, 38.8, 1.6]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,1,1,Centre,High
2,00:13:33.396,58,33,1,3,131,Paris Saint-Germain,4320,Neymar da Silva Santos Junior,0.7835,"[119.5, 41.9, 0.1]",40,Right Foot,88,Penalty,100,Saved,93,Normal,,-2,0,Right,Low
